name	phylum	class	order	family	genus	species
Cluster_211	Glomeromycota	undefined	Glomeromycetes	Diversisporales	Scutellosporaceae	Scutellospora
Cluster_212	Ascomycota	Pezizomycotina	Sordariomycetes	undefined	undefined	undefined
Cluster_213	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_214	Chytridiomycota	undefined	undefined	undefined	undefined	undefined
Cluster_215	Basidiomycota	Pucciniomycotina	undefined	Helicobasidiales	undefined	Helicobasidium
Cluster_217	Ascomycota	Pezizomycotina	Sordariomycetes	Xylariales	Xylariaceae	Multi-affiliation
Cluster_218	Chytridiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_22	Ascomycota	Taphrinomycotina	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina
Cluster_221	Basidiomycota	undefined	undefined	undefined	undefined	undefined
Cluster_222	Basidiomycota	undefined	Tremellomycetes	Cystofilobasidiales	undefined	Multi-affiliation
Cluster_223	Chytridiomycota	undefined	Chytridiomycetes	Chytridiales	Megachytriaceae	Nowakowskiella
Cluster_224	Ascomycota	undefined	undefined	undefined	undefined	Tetracladium
Cluster_225	Chytridiomycota	undefined	Chytridiomycetes	Rhizophydiales	Rhizophydiaceae	Rhizophydium
Cluster_226	Basidiomycota	Pucciniomycotina	undefined	Erythrobasidiales	undefined	Sakaguchia
Cluster_227	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_228	Zygomycota	Mucoromycotina	undefined	Mortierellales	Mortierellaceae	Mortierella
Cluster_229	Basidiomycota	Pucciniomycotina	Agaricostilbomycetes	undefined	undefined	Bensingtonia
Cluster_23	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_231	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_232	Chytridiomycota	undefined	undefined	undefined	undefined	undefined
Cluster_233	Ascomycota	Pezizomycotina	Dothideomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation
